着順,枠番,馬名,父親,母親,性別,年齢,体重変化量,騎手,人気,調教師,種別,回り方,距離,天気,状態
7,7,ハッピーアワー,ハービンジャー,サクセスシルエット,牡,3,-4,吉田隼人,10,武幸四郎,芝,左,1600m,晴,良
8,8,トオヤリトセイト,ドリームジャーニー,ジャジャマーチャン,牡,3,-2,福永祐一,16,松下武士,芝,左,1600m,晴,良
9,6,ワイドファラオ,ヘニーヒューズ,ワイドサファイア,牡,3,-12,内田博幸,9,角居勝彦,芝,左,1600m,晴,良
10,3,グルーヴィット,ロードカナロア,スペシャルグルーヴ,牡,3,2,D.レーン,4,松永幹夫,芝,左,1600m,晴,良
11,3,マイネルフラップ,ヴィクトワールピサ,マイネエレーナ,牡,3,-4,松岡正海,15,梅田智之,芝,左,1600m,晴,良
12,1,プールヴィル,Le Havre,ケンホープ,牝,3,-6,秋山真一郎,12,庄野靖志,芝,左,1600m,晴,良
13,7,ファンタジスト,ロードカナロア,ディープインアスク,牡,3,2,武豊,6,梅田智之,芝,左,1600m,晴,良
14,1,クリノガウディー,スクリーンヒーロー,クリノビリオネア,牡,3,0,藤岡佑介,13,藤沢則雄,芝,左,1600m,晴,良
15,7,ヴィッテルスバッハ,ルーラーシップ,ケイティーズジェム,牡,3,-4,戸崎圭太,5,池上昌和,芝,左,1600m,晴,良
16,2,イベリス,ロードカナロア,セレブラール,牝,3,-2,浜中俊,11,角田晃一,芝,左,1600m,晴,良
17,5,ミッキーブラック,ブラックタイド,マラコスタムブラダ,牡,3,4,岩田康誠,17,音無秀孝,芝,左,1600m,晴,良
18,6,ロードグラディオ,キングカメハメハ,シンメイフジ,牡,3,-4,大野拓弥,18,西浦勝一,芝,左,1600m,晴,良
1,2,ノームコア,ハービンジャー,クロノロジスト,牝,4,4,D.レーン,5,萩原清,芝,左,1600m,晴,良
2,5,プリモシーン,ディープインパクト,モシーン,牝,4,0,福永祐一,4,木村哲也,芝,左,1600m,晴,良
3,2,クロコスミア,ステイゴールド,デヴェロッペ,牝,6,-8,戸崎圭太,11,西浦勝一,芝,左,1600m,晴,良
4,3,ラッキーライラック,オルフェーヴル,ライラックスアンドレース,牝,4,-4,石橋脩,1,松永幹夫,芝,左,1600m,晴,良
5,6,アエロリット,クロフネ,アステリックス,牝,5,0,横山典弘,2,菊沢隆徳,芝,左,1600m,晴,良
6,5,ミエノサクシード,ステイゴールド,ハピネスフォーユー,牝,6,-2,川島信二,17,高橋亮,芝,左,1600m,晴,良
7,8,サウンドキアラ,ディープインパクト,サウンドバリアー,牝,4,0,田辺裕信,15,安達昭夫,芝,左,1600m,晴,良
8,4,ミッキーチャーム,ディープインパクト,リップルスメイド,牝,4,0,川田将雅,6,中内田充正,芝,左,1600m,晴,良
9,8,ソウルスターリング,Frankel,スタセリタ,牝,5,4,武豊,8,藤沢和雄,芝,左,1600m,晴,良
10,7,レッツゴードンキ,キングカメハメハ,マルトク,牝,7,-2,岩田康誠,13,梅田智之,芝,左,1600m,晴,良
11,1,レッドオルガ,ディープインパクト,エリモピクシー,牝,5,0,北村友一,3,藤原英昭,芝,左,1600m,晴,良
12,4,デンコウアンジュ,メイショウサムソン,デンコウラッキー,牝,6,-4,柴田善臣,10,荒川義之,芝,左,1600m,晴,良
